scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Dendrocygna viduata,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,,pato cara blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Diomedea epomophora,Aves,Procellariiformes,Diomedeidae,Diomedea,epomophora,,albatros real,VU,,06/07/2019,,,,,,,,,,,,,,,
Diuca diuca,Aves,Passeriformes,Thraupidae,Diuca,diuca,,diuca,LC,,06/07/2019,,,,,,,,,,,,,,,
Dolichonyx oryzivorus,Aves,Passeriformes,Icteridae,Dolichonyx,oryzivorus,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Donacospiza albifrons,Aves,Passeriformes,Thraupidae,Donacospiza,albifrons,,monterita cabeza gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Drymornis bridgesii,Aves,Passeriformes,Furnariidae,Drymornis,bridgesii,,trepador grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Egretta caerulea,Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,,garza azul,LC,,06/07/2019,,,,,,,,,,,,,,,
Egretta thula,Aves,Pelecaniformes,Ardeidae,Egretta,thula,,garza blanca chica,LC,,06/07/2019,,,,,,,,,,,,,,,
Elaenia albiceps,Aves,Passeriformes,Tyrannidae,Elaenia,albiceps,,fiofío silbón,LC,,06/07/2019,,,,,,,,,,,,,,,
Elaenia flavogaster,Aves,Passeriformes,Tyrannidae,Elaenia,flavogaster,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Elaenia mesoleuca,Aves,Passeriformes,Tyrannidae,Elaenia,mesoleuca,,fiofío oliváceo,LC,,06/07/2019,,,,,,,,,,,,,,,
Elaenia obscura,Aves,Passeriformes,Tyrannidae,Elaenia,obscura,,fiofío oscuro,LC,,06/07/2019,,,,,,,,,,,,,,,
Elaenia parvirostris,Aves,Passeriformes,Tyrannidae,Elaenia,parvirostris,,fiofío pico corto,LC,,06/07/2019,,,,,,,,,,,,,,,
Elaenia spectabilis,Aves,Passeriformes,Tyrannidae,Elaenia,spectabilis,,fiofío grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Elanoides forficatus,Aves,Accipitriformes,Accipitridae,Elanoides,forficatus,,halcón tijereta,LC,,06/07/2019,,,,,,,,,,,,,,,
Elanus leucurus,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,,halcón blanco,LC,,06/07/2019,,,,,,,,,,,,,,,
Emberizoides herbicola,Aves,Passeriformes,Thraupidae,Emberizoides,herbicola,,coludo grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Emberizoides ypiranganus,Aves,Passeriformes,Thraupidae,Emberizoides,ypiranganus,,coludo chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Embernagra platensis,Aves,Passeriformes,Thraupidae,Embernagra,platensis,,verdón,LC,,06/07/2019,,,,,,,,,,,,,,,
Empidonomus varius,Aves,Passeriformes,Tyrannidae,Empidonomus,varius,,tuquito rayado,LC,,06/07/2019,,,,,,,,,,,,,,,
Eudyptes chrysocome,Aves,Sphenisciformes,Spheniscidae,Eudyptes,chrysocome,,pingüino penacho amarillo,VU,,06/07/2019,,,,,,,,,,,,,,,
Euphonia chlorotica,Aves,Passeriformes,Fringillidae,Euphonia,chlorotica,,tangará garganta violácea,LC,,06/07/2019,,,,,,,,,,,,,,,
Euphonia cyanocephala,Aves,Passeriformes,Fringillidae,Euphonia,cyanocephala,,tangará corona celeste,LC,,06/07/2019,,,,,,,,,,,,,,,
Euscarthmus meloryphus,Aves,Passeriformes,Tyrannidae,Euscarthmus,meloryphus,,barullero,LC,,06/07/2019,,,,,,,,,,,,,,,
Falco femoralis,Aves,Falconiformes,Falconidae,Falco,femoralis,,halcón plomizo,LC,,06/07/2019,,,,,,,,,,,,,,,
Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,peregrinus,,halcón peregrino,LC,,06/07/2019,,,,,,,,,,,,,,,
Falco sparverius,Aves,Falconiformes,Falconidae,Falco,sparverius,,halcóncito común,LC,,06/07/2019,,,,,,,,,,,,,,,
Florisuga fusca,Aves,Apodiformes,Trochilidae,Florisuga,fusca,,picaflor negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Fluvicola albiventer,Aves,Passeriformes,Tyrannidae,Fluvicola,albiventer,,lavandera blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Fregata magnificens,Aves,Suliformes,Fregatidae,Fregata,magnificens,,fragata,LC,,06/07/2019,,,,,,,,,,,,,,,
